,Container_Write_Time,Process_Write_Time,VM_Write_Time,cCpuTime,cCpuTimeKernelMode,cCpuTimeUserMode,cDiskReadBytes,cDiskSectorIO,cDiskWriteBytes,cId,cMajorPGFault,cMemoryMaxUsed,cMemoryUsed,cNetworkBytesRecvd,cNetworkBytesSent,cNumProcesses,cNumProcessors,cPGFault,currentTime,pMetricType,vBootTime,vCpuContextSwitches,vCpuIdleTime,vCpuMhz,vCpuNice,vCpuSteal,vCpuTime,vCpuTimeIOWait,vCpuTimeIntSrvc,vCpuTimeKernelMode,vCpuTimeSoftIntSrvc,vCpuTimeUserMode,vCpuType,vDiskMergedReads,vDiskMergedWrites,vDiskReadTime,vDiskSectorReads,vDiskSectorWrites,vDiskSuccessfulReads,vDiskSuccessfulWrites,vDiskWriteTime,vId,vLoadAvg,vMajorPageFault,vMemoryBuffers,vMemoryCached,vMemoryFree,vMemoryTotal,vMetricType,vNetworkBytesRecvd,vNetworkBytesSent,vPgFault
2021_08_16_06_37_32_delta.json,0.006307,0.001856,0.004416,-19458677,154,275,-8572928,0,0,a8a3fbf1056a,0,10113024,9486336,-403,0,2,2,5379,1629096183,Process level,1629086132.0,17069500,64935.00000000023,2304.006,0.0,0.0,429.0,9.999999999999886,0.0,154.00000000000182,14.0,275.0,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,47,1393,112,4276101.0,27944.0,450,1714,645,unavailable,0.1748046875,8406,213729,2120765,224371,4090970,VM Level,-606,0,20737628
2021_08_16_06_43_03_delta.json,0.006390000000000001,0.001887,0.004236,83903543,0,7,0,0,0,a8a3fbf1056a,0,10166272,9601024,200,0,2,2,10857,1629096184,Process level,1629086132.0,57600,207.0,2304.006,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,0,0,0,4276101.0,0.0,0,0,0,unavailable,0.1748046875,8406,213729,2120819,223039,4090970,VM Level,403,0,20743134
2021_08_16_06_43_04_delta.json,0.0063019999999999994,0.001647,0.004064,83894259,2,6,0,0,0,a8a3fbf1056a,0,10190848,9654272,203,0,2,2,16368,1629096186,Process level,1629086132.0,41800,206.00000000023283,2304.006,0.0,0.0,8.0,0.0,0.0,2.0,0.0,6.0,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,0,0,0,4276101.0,0.0,0,0,0,unavailable,0.1748046875,8406,213729,2120835,226927,4090970,VM Level,203,0,20749772
2021_08_16_06_43_05_delta.json,0.006665,0.0017959999999999999,0.004011,84999083,2,7,0,0,0,a8a3fbf1056a,0,10190848,9584640,270,0,2,2,21879,1629096187,Process level,1629086132.0,43500,205.99999999976717,2304.006,0.0,0.0,8.000000000007276,0.0,0.0,2.0,0.0,6.0,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,0,0,0,4276101.0,0.0,0,0,0,unavailable,0.16064453125,8406,213729,2120843,226927,4090970,VM Level,270,0,20755272
2021_08_16_06_43_06_delta.json,0.006398,0.0016569999999999998,0.004024,86220499,2,6,0,0,0,a8a3fbf1056a,0,10190848,9531392,0,0,2,2,27390,1629096188,Process level,1629086132.0,38000,207.0,2304.006,0.0,0.0,8.999999999992724,0.0,0.0,2.000000000001819,0.0,7.0,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,0,14,0,4276101.0,128.0,0,2,1,unavailable,0.16064453125,8406,213737,2120827,227209,4090970,VM Level,0,0,20760793
2021_08_16_06_43_07_delta.json,0.0067,0.001812,0.004177,84615186,1,7,0,0,0,a8a3fbf1056a,0,10190848,9580544,0,0,2,2,32901,1629096189,Process level,1629086132.0,36300,206.0,2304.006,0.0,0.0,8.0,0.0,0.0,0.9999999999981811,0.0,7.0,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,0,0,0,4276101.0,0.0,0,0,0,unavailable,0.16064453125,8406,213737,2120835,227217,4090970,VM Level,0,0,20766301
2021_08_16_06_43_08_delta.json,0.006862,0.00185,0.004079,84719089,1,7,0,0,0,a8a3fbf1056a,0,10227712,9646080,203,0,2,2,38379,1629096190,Process level,1629086132.0,33100,207.0,2304.006,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,0,0,0,4276101.0,0.0,0,0,0,unavailable,0.16064453125,8406,213737,2120860,227193,4090970,VM Level,203,0,20771809
2021_08_16_06_43_09_delta.json,0.0063739999999999995,0.0016719999999999999,0.003920000000000001,82307949,2,7,0,0,0,a8a3fbf1056a,0,10227712,9654272,0,0,2,2,43923,1629096191,Process level,1629086132.0,42100,205.0,2304.006,0.0,0.0,9.0,0.0,0.0,3.0,0.0,6.0,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,0,0,0,4276101.0,0.0,0,0,0,unavailable,0.16064453125,8406,213742,2120901,227160,4090970,VM Level,0,0,20777325
2021_08_16_06_43_10_delta.json,0.006422,0.0017000000000000001,0.003948,81795876,2,6,0,0,0,a8a3fbf1056a,0,10240000,9596928,0,0,2,2,49401,1629096192,Process level,1629086132.0,42500,204.99999999976717,2304.006,0.0,0.0,9.0,0.0,0.0,2.000000000001819,0.0,7.0,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,0,23,0,4276101.0,1488.0,0,103,31,unavailable,0.1474609375,8406,213746,2120901,226918,4090970,VM Level,0,0,20782831
2021_08_16_06_43_12_delta.json,0.006169,0.001624,0.004153,82866422,1,8,0,0,0,a8a3fbf1056a,0,10244096,9670656,0,0,2,2,54912,1629096193,Process level,1629086132.0,39200,206.00000000023283,2304.006,0.0,0.0,9.0,0.0,0.0,0.9999999999981811,0.0,7.999999999996362,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,0,0,0,4276101.0,0.0,0,0,0,unavailable,0.1474609375,8406,213746,2120905,227176,4090970,VM Level,0,0,20788316
2021_08_16_06_43_13_delta.json,0.006271,0.0016719999999999999,0.004978,82873532,3,14,0,0,0,a8a3fbf1056a,0,10244096,9580544,70,0,2,2,60423,1629096194,Process level,1629086132.0,155600,189.0,2304.006,0.0,0.0,17.0,0.0,0.0,3.0,1.0,14.000000000003638,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,0,0,0,4276101.0,0.0,0,0,0,unavailable,0.1474609375,8406,213746,2120913,226918,4090970,VM Level,70,0,20794309
2021_08_16_06_43_14_delta.json,0.0064,0.001733,0.004076,85012429,2,16,0,0,0,a8a3fbf1056a,0,10244096,9732096,0,0,2,2,65901,1629096195,Process level,1629086132.0,153700,188.99999999976717,2304.006,0.0,0.0,17.999999999992724,0.0,0.0,1.999999999998181,0.0,16.0,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,0,0,1,4276229.0,0.0,1,0,0,unavailable,0.1474609375,8407,213746,2120937,226644,4090970,VM Level,0,0,20799913
2021_08_16_06_43_15_delta.json,0.006548,0.001627,0.004736,83181086,2,12,0,0,0,a8a3fbf1056a,0,10297344,9658368,0,0,2,2,71412,1629096196,Process level,1629086132.0,198800,191.0,2304.006,0.0,0.0,14.000000000007276,0.0,0.0,2.000000000001819,0.0,12.0,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,0,0,0,4276229.0,0.0,0,0,0,unavailable,0.13525390625,8407,213746,2121011,226902,4090970,VM Level,0,0,20805489
2021_08_16_06_43_16_delta.json,0.006745999999999999,0.001857,0.005219,88056209,2,14,0,0,0,a8a3fbf1056a,0,10297344,9682944,203,0,2,2,76890,1629096197,Process level,1629086132.0,98300,197.00000000023283,2304.006,0.0,0.0,16.0,0.0,0.0,2.0,0.0,13.999999999996362,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,0,11,5,4277157.0,112.0,19,3,1,unavailable,0.13525390625,8413,213758,2121482,225018,4090970,VM Level,203,0,20812369
2021_08_16_06_43_17_delta.json,0.006519,0.002263,0.004604,89629037,3,7,0,0,0,a8a3fbf1056a,0,10297344,9707520,0,0,2,2,82434,1629096199,Process level,1629086132.0,114200,201.00000000023283,2304.006,0.0,0.0,10.0,0.0,0.0,3.0,0.0,7.000000000007276,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,0,0,0,4277157.0,0.0,0,0,0,unavailable,0.13525390625,8413,213758,2121650,220746,4090970,VM Level,0,0,20818325
2021_08_16_06_43_18_delta.json,0.006180000000000001,0.001825,0.0040149999999999995,85262955,3,9,0,0,0,a8a3fbf1056a,0,10297344,9793536,0,0,2,2,87912,1629096200,Process level,1629086132.0,84300,201.99999999953434,2304.006,0.0,0.0,11.0,0.0,0.0,2.0,0.0,8.999999999996362,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,0,0,0,4277157.0,0.0,0,0,0,unavailable,0.13525390625,8413,213758,2121687,219439,4090970,VM Level,0,0,20823870
2021_08_16_06_43_19_delta.json,0.007003,0.001697,0.004503,83219114,0,6,0,0,0,a8a3fbf1056a,0,10297344,9748480,0,0,2,2,93390,1629096201,Process level,1629086132.0,40800,206.00000000023283,2304.006,0.0,0.0,7.0,0.0,0.0,1.000000000001819,0.0,6.0,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,0,0,0,4277157.0,0.0,0,0,0,unavailable,0.13525390625,8413,213758,2121703,220205,4090970,VM Level,0,0,20829361
2021_08_16_06_43_20_delta.json,0.0063809999999999995,0.001784,0.004082,85088160,1,8,0,0,0,a8a3fbf1056a,0,10297344,9691136,0,0,2,2,98934,1629096202,Process level,1629086132.0,46700,206.0,2304.006,0.0,0.0,9.0,0.0,0.0,0.9999999999981811,1.0,8.0,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,0,0,0,4277157.0,0.0,0,0,0,unavailable,0.1240234375,8413,213758,2121720,219947,4090970,VM Level,0,0,20834865
2021_08_16_06_43_21_delta.json,0.006130000000000001,0.001816,0.003958,82606364,2,6,0,0,0,a8a3fbf1056a,0,10342400,9768960,0,0,2,2,104412,1629096203,Process level,1629086132.0,42200,206.0,2304.006,0.0,0.0,8.0,0.0,0.0,2.000000000001819,0.0,6.0,Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,0,14,0,4277157.0,128.0,0,2,1,unavailable,0.1240234375,8413,213766,2121753,220180,4090970,VM Level,0,0,20840380
